ProjectID,Complexiteit,Marktsegment,Gebied,Projectomschrijving,Projectmanager,Portfolio,Prognose eindstand,besteed,budget_ratio,Plandatum,Klanteis,HaalbaarheidBoolean,slack_days,risico_count,sum_ev_geld,avg_kans,n_tvps,total_tvp_hours,avg_tvp_hours,primary_geo,primary_tesi,n_taken,budget_alle_jaren
R-601500,Midden,Beveiliging,Landelijk,Landelijke aanpak Treindetectie,Machteld van Gent,Landelijk,2732306.0,100706.0,0.03685751156715243,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-628000,Laag,,Noord-Oost,"Leeuwarden, afdekken put spoor 35",Hatim Chahim,Noord-Oost,8443.0,18449.8,2.185218524221248,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-591700,Laag,Installaties,Noord-Oost,"Leeuwarden-Groningen, aanpassen depotvoe",Esther de Voogd - Kuik,Noord-Oost,275821.1,272912.1,0.989453308684506,,,,,0,0.0,0.0,2,17.0,8.5,,,0,0.0
R-520080,Midden,Beveiliging,Randstad-Noord,LVO Overweg Hilversum Hoge Larenseweg,Arnold Hek,Randstad-Noord,1573512.92,1573512.92,1.0,,,,,0,0.0,0.0,1,3.9,3.9,,,0,0.0
R-600240,Laag,Spoor,Landelijk,MJPG Brug Roermond,Annelies Copier - van der Kroon,O&P Landelijk,430654.25,94539.25,0.21952471152902822,2029-04-29,2031-12-01,True,946.0,0,0.0,0.0,0,0.0,,,,0,0.0
R-600166,Laag,Civiel,Randstad-Noord,MJPG Noord West Fase2 GS,Friso van Merode,Randstad-Noord,6639443.0,27740.0,0.00417806132231273,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-600121,Laag,Civiel,Noord-Oost,MJPG Oost Fase1 GS,Annelies Copier - van der Kroon,Noord-Oost,,,,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-600250,Midden,Overig,Zuid,MJPG Treurenburgbrug,Roger Mariën,O&P Landelijk,339538.5,99373.5,0.2926722595523041,2027-01-18,2027-12-31,True,347.0,0,0.0,0.0,0,0.0,,,,0,0.0
R-600187,Midden,Overig,Landelijk,MJPG ZHN F2 RD,Roger Mariën,O&P Landelijk,931328.89,805204.0800000001,0.8645754347854495,2030-12-29,2030-12-31,True,2.0,1,0.0,0.0,4,16.4,4.1,,,0,0.0
R-600207,Midden,Overig,Landelijk,MJPG ZHZ F2 RD,Roger Mariën,O&P Landelijk,530692.29,443566.49,0.8358261432439502,2030-12-29,,True,,0,0.0,0.0,4,16.75,4.1875,,,0,0.0
